Catalogo;Curso;NivelCurso;NomeCurso;LimiteMaximoCreditos;LimiteMinimoCreditos;LimiteMinimoCreditosEquacao;NumCreditosParaUsarEquacao;CoeficienteAplicadoCR;CRMedioTurma;TotalAlunosTrrma;DesvioPadrao
1972;5;G;Química                                                                                                                                                         ;31;0;0;0;0,00;0,4034;41;0,2659
1972;6;G;Ciências Biológicas                                                                                                                                             ;30;0;0;0;0,00;0,6213;25;0,1911
1972;10;G;Engenharia Mecânica                                                                                                                                             ;34;0;0;0;0,00;0,4955;56;0,2153
1972;11;G;Engenharia Elétrica                                                                                                                                             ;34;0;0;0;0,00;0,5803;62;0,2178
1972;12;G;Engenharia Civil                                                                                                                                                ;36;0;0;0;0,00;0,5024;59;0,2134
1972;13;G;Engenharia de Alimentos                                                                                                                                         ;35;0;0;0;0,00;0,5576;49;0,1796
1972;14;G;Odontologia                                                                                                                                                     ;30;0;0;0;0,00;0,0000;1;
1972;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,6833;85;0,1128
1972;16;G;Ciências Sociais                                                                                                                                                ;35;0;0;0;0,00;0,5855;44;0,1494
1972;17;G;Ciências Econômicas                                                                                                                                             ;35;0;0;0;0,00;0,5584;45;0,1209
1972;18;G;Linguística                                                                                                                                                     ;35;0;0;0;0,00;0,6614;21;0,0832
1973;1;G;Matemática                                                                                                                                                      ;36;0;0;0;0,00;0,4760;55;0,2133
1973;2;G;Estatística                                                                                                                                                     ;36;0;0;0;0,00;0,4072;62;0,2309
1973;3;G;Ciência da Computação                                                                                                                                           ;36;0;0;0;0,00;0,5666;84;0,1195
1973;4;G;Física                                                                                                                                                          ;30;0;0;0;0,00;0,5299;55;0,1812
1973;5;G;Química                                                                                                                                                         ;36;0;0;0;0,00;0,5182;50;0,1954
1973;6;G;Ciências Biológicas                                                                                                                                             ;36;0;0;0;0,00;0,6248;31;0,2457
1973;10;G;Engenharia Mecânica                                                                                                                                             ;34;0;0;0;0,00;0,5503;72;0,1767
1973;11;G;Engenharia Elétrica                                                                                                                                             ;34;0;0;0;0,00;0,6096;70;0,1412
1973;12;G;Engenharia Civil                                                                                                                                                ;36;0;0;0;0,00;0,5448;76;0,1733
1973;13;G;Engenharia de Alimentos                                                                                                                                         ;35;0;0;0;0,00;0,6327;65;0,1296
1973;14;G;Odontologia                                                                                                                                                     ;30;0;0;0;0,00;;2;
1973;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,6372;100;0,2127
1973;16;G;Ciências Sociais                                                                                                                                                ;36;0;0;0;0,00;0,6304;47;0,1650
1973;17;G;Ciências Econômicas                                                                                                                                             ;36;0;0;0;0,00;0,5878;54;0,1003
1973;18;G;Linguística                                                                                                                                                     ;36;0;0;0;0,00;0,5602;29;0,1206
1973;24;G;Licenciatura em Letras                                                                                                                                          ;36;0;0;0;0,00;;0;
1974;1;G;Matemática                                                                                                                                                      ;36;0;0;0;0,00;0,4133;54;0,2653
1974;2;G;Estatística                                                                                                                                                     ;36;0;0;0;0,00;0,4034;57;0,2703
1974;3;G;Ciência da Computação                                                                                                                                           ;36;0;0;0;0,00;0,6243;82;0,1244
1974;4;G;Física                                                                                                                                                          ;30;0;0;0;0,00;0,5219;61;0,2226
1974;5;G;Química                                                                                                                                                         ;36;0;0;0;0,00;0,4771;52;0,2409
1974;6;G;Ciências Biológicas                                                                                                                                             ;36;0;0;0;0,00;0,5712;39;0,2194
1974;10;G;Engenharia Mecânica                                                                                                                                             ;34;0;0;0;0,00;0,5863;83;0,1557
1974;11;G;Engenharia Elétrica                                                                                                                                             ;34;0;0;0;0,00;0,6316;82;0,1543
1974;12;G;Engenharia Civil                                                                                                                                                ;36;0;0;0;0,00;0,5437;86;0,1764
1974;13;G;Engenharia de Alimentos                                                                                                                                         ;35;0;0;0;0,00;0,5918;66;0,1673
1974;14;G;Odontologia                                                                                                                                                     ;32;0;0;0;0,00;0,6288;87;0,0783
1974;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,6435;103;0,2118
1974;16;G;Ciências Sociais                                                                                                                                                ;36;0;0;0;0,00;0,5779;47;0,1390
1974;17;G;Ciências Econômicas                                                                                                                                             ;36;0;0;0;0,00;0,5726;87;0,1216
1974;18;G;Linguística                                                                                                                                                     ;36;0;0;0;0,00;0,5920;20;0,1389
1974;20;G;Pedagogia                                                                                                                                                       ;30;0;0;0;0,00;0,6016;47;0,3143
1974;24;G;Licenciatura em Letras                                                                                                                                          ;36;0;0;0;0,00;;0;
1974;31;T;Curso Superior de Tecnologia Sanitária                                                                                                                          ;99;0;0;0;0,00;0,5632;29;0,2924
1975;1;G;Matemática                                                                                                                                                      ;36;0;0;0;0,00;0,4905;49;0,2505
1975;2;G;Estatística                                                                                                                                                     ;36;0;0;0;0,00;0,4012;64;0,2494
1975;3;G;Ciência da Computação                                                                                                                                           ;36;0;0;0;0,00;0,6177;82;0,1771
1975;4;G;Física                                                                                                                                                          ;30;0;0;0;0,00;0,5028;61;0,2459
1975;5;G;Química                                                                                                                                                         ;36;0;0;0;0,00;0,4869;51;0,2300
1975;6;G;Ciências Biológicas                                                                                                                                             ;36;0;0;0;0,00;0,6164;43;0,1786
1975;9;G;Engenharia Química                                                                                                                                              ;34;0;0;0;0,00;0,5891;63;0,2140
1975;10;G;Engenharia Mecânica                                                                                                                                             ;34;0;0;0;0,00;0,6117;88;0,1649
1975;11;G;Engenharia Elétrica                                                                                                                                             ;31;0;16;30;30,00;0,6663;83;0,1169
1975;12;G;Engenharia Civil                                                                                                                                                ;36;0;0;0;0,00;0,5575;85;0,1785
1975;13;G;Engenharia de Alimentos                                                                                                                                         ;35;0;0;0;0,00;0,6210;82;0,1504
1975;14;G;Odontologia                                                                                                                                                     ;36;0;0;0;0,00;0,6488;83;0,0796
1975;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,7120;102;0,1034
1975;16;G;Ciências Sociais                                                                                                                                                ;32;0;0;0;0,00;0,5834;51;0,1515
1975;17;G;Ciências Econômicas                                                                                                                                             ;32;0;0;0;0,00;0,5567;81;0,1480
1975;18;G;Linguística                                                                                                                                                     ;32;0;0;0;0,00;0,5349;30;0,1511
1975;20;G;Pedagogia                                                                                                                                                       ;30;0;0;0;0,00;0,6100;62;0,2481
1975;24;G;Licenciatura em Letras                                                                                                                                          ;36;0;0;0;0,00;;0;
1975;31;T;Curso Superior de Tecnologia Sanitária                                                                                                                          ;99;0;0;0;0,00;0,4953;29;0,2827
1976;1;G;Matemática                                                                                                                                                      ;27;0;0;0;0,00;0,5018;63;0,2190
1976;2;G;Estatística                                                                                                                                                     ;30;0;0;0;0,00;0,5197;64;0,2002
1976;3;G;Ciência da Computação                                                                                                                                           ;30;0;0;0;0,00;0,6687;86;0,1428
1976;4;G;Física                                                                                                                                                          ;28;0;0;0;0,00;0,5468;67;0,1530
1976;5;G;Química                                                                                                                                                         ;32;0;0;0;0,00;0,4781;69;0,2234
1976;6;G;Ciências Biológicas                                                                                                                                             ;30;0;0;0;0,00;0,5909;46;0,1861
1976;8;G;Engenharia Agrícola                                                                                                                                             ;99;0;0;0;0,00;0,6097;28;0,1714
1976;9;G;Engenharia Química                                                                                                                                              ;30;0;0;0;0,00;0,6042;76;0,1523
1976;10;G;Engenharia Mecânica                                                                                                                                             ;30;0;0;0;0,00;0,6304;84;0,1497
1976;11;G;Engenharia Elétrica                                                                                                                                             ;31;0;16;30;30,00;0,6428;85;0,1312
1976;12;G;Engenharia Civil                                                                                                                                                ;30;0;0;0;0,00;0,5512;93;0,1764
1976;13;G;Engenharia de Alimentos                                                                                                                                         ;30;0;0;0;0,00;0,6168;86;0,1363
1976;14;G;Odontologia                                                                                                                                                     ;30;0;0;0;0,00;0,6369;91;0,1638
1976;15;G;Medicina                                                                                                                                                        ;99;0;0;0;0,00;0,7022;104;0,0964
1976;16;G;Ciências Sociais                                                                                                                                                ;28;0;0;0;0,00;0,5705;63;0,2253
1976;17;G;Ciências Econômicas                                                                                                                                             ;28;0;0;0;0,00;0,5644;87;0,1577
1976;18;G;Linguística                                                                                                                                                     ;28;0;0;0;0,00;0,5311;45;0,2141
1976;19;G;História                                                                                                                                                        ;28;0;0;0;0,00;0,5813;25;0,1450
1976;20;G;Pedagogia                                                                                                                                                       ;30;0;0;0;0,00;0,5442;57;0,3075
1976;31;T;Curso Superior de Tecnologia Sanitária                                                                                                                          ;99;0;0;0;0,00;0,5490;28;0,2667
