Catalogo;Curso;NivelCurso;Disciplina
1967;10;G;Q 202
1967;11;G;F 101
1967;11;G;F 102
1967;11;G;F 201
1967;11;G;F 202
1967;11;G;F 301
1967;11;G;F 302
1967;11;G;F 401
1967;11;G;F 402
1967;12;G;EC009
1967;12;G;EC011
1967;12;G;EC021
1967;12;G;EC022
1967;12;G;EC025
1967;12;G;EC142
1967;12;G;EC302
1967;12;G;EC306
1967;12;G;EC401
1967;12;G;EC402
1967;12;G;EC421
1967;12;G;EC504
1967;12;G;EC505
1967;12;G;EC507
1967;12;G;EC511
1967;12;G;EC512
1967;12;G;EC521
1967;12;G;EC604
1967;12;G;EC605
1967;12;G;EC611
1967;12;G;EC612
1967;12;G;EC621
1967;12;G;EC623
1967;12;G;EC702
1967;12;G;EC704
1967;12;G;EC711
1967;12;G;EC712
1967;12;G;EC717
1967;12;G;EC722
1967;12;G;EC723
1967;12;G;EC802
1967;12;G;EC804
1967;12;G;EC811
1967;12;G;EC822
1967;12;G;EC823
1967;12;G;EC902
1967;12;G;EC904
1967;12;G;EC905
1967;12;G;EC906
1967;12;G;EC924
1967;12;G;EC929
1967;12;G;F 101
1967;12;G;F 102
1967;12;G;F 201
1967;12;G;F 202
1967;12;G;F 301
1967;12;G;F 302
1967;12;G;F 311
1967;12;G;F 411
1967;12;G;MA101
1967;12;G;MA141
1967;12;G;MA142
1967;12;G;MA201
1967;12;G;MA221
1967;12;G;MA301
1967;12;G;MC111
1967;12;G;ME203
1967;12;G;MS211
1967;12;G;Q 101
1967;12;G;Q 102
1967;13;G;B 201
1967;13;G;EI801
1967;13;G;EM422
1967;13;G;ET711
1967;13;G;F 101
1967;13;G;F 102
1967;13;G;F 201
1967;13;G;F 202
1967;13;G;F 301
1967;13;G;F 302
1967;13;G;F 311
1967;13;G;F 401
1967;13;G;F 402
1967;13;G;F 411
1967;13;G;H 201
1967;13;G;MA101
1967;13;G;MA141
1967;13;G;MA201
1967;13;G;MA302
1967;13;G;MC111
1967;13;G;ME203
1967;13;G;Q 101
1967;13;G;Q 102
1967;13;G;Q 201
1967;13;G;Q 202
1967;13;G;Q 311
1967;13;G;Q 312
1967;13;G;Q 313
1967;13;G;Q 314
1967;13;G;Q 321
1967;13;G;Q 324
1967;13;G;Q 331
1967;13;G;Q 411
1967;13;G;Q 412
1967;13;G;Q 413
1967;13;G;Q 424
1967;13;G;Q 431
1967;13;G;Q 511
1967;13;G;Q 531
1967;13;G;TA010
1967;13;G;TA025
